locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv1635c	Rv1635c	CDS	Probable mannosyltransferase. Probable conserved transmembrane protein.		-	1842442	1842446	1840572	1842242			TU1071	cell wall and cell processes
Rv1636	TB15.3	CDS	Iron-regulated universal stress protein family protein TB15.3		+			1842451	1842891			TU1072	virulence, detoxification, adaptation
Rv1637c	Rv1637c	CDS	Conserved protein		-			1842898	1843692			TU1073	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1638	uvrA	CDS	Probable excinuclease ABC (subunit A - DNA-binding ATPase) UvrA		+			1843741	1846659			TU1074	information pathways
Rv1638A	Rv1638A	CDS	Conserved hypothetical protein		-			1846716	1846973			TU1075	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1639c	Rv1639c	CDS	Conserved hypothetical membrane protein		-			1846989	1848458	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU1076	cell wall and cell processes
Rv1640c	lysX	CDS	Lysyl-tRNA synthetase 2 LysX		-			1848517	1852035			TU1077	information pathways
Rv1641	infC	CDS	Probable initiation factor if-3 InfC		+	1852264	1852268	1852273	1852878			TU1078	information pathways
Rv1642	rpmI	CDS	50S ribosomal protein L35 RpmI		+			1852928	1853122			TU1079	information pathways
Rv1643	rplT	CDS	50S ribosomal protein L20 RplT		+			1853184	1853573			TU1080	information pathways
Rv1644	tsnR	CDS	Possible 23S rRNA methyltransferase TsnR		+			1853606	1854388			TU1080	information pathways
Rv1645c	Rv1645c	CDS	Conserved hypothetical protein		-			1854399	1855454			TU1081	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1646	PE17	CDS	PE family protein PE17		+			1855764	1856696			TU1082	PE/PPE	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1647	Rv1647	CDS	Adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase)		+			1856774	1857724			TU1083	intermediary metabolism and respiration
Rv1648	Rv1648	CDS	Probable transmembrane protein		+			1857731	1858537			TU1083	cell wall and cell processes
Rv1649	pheS	CDS	Probable phenylalanyl-tRNA synthetase, alpha chain PheS		+			1858733	1859758			TU1084	information pathways
Rv1650	pheT	CDS	Probable phenylalanyl-tRNA synthetase, beta chain PheT		+			1859758	1862253			TU1084	information pathways
Rv1651c	PE_PGRS30	CDS	PE-PGRS family protein PE_PGRS30		-			1862347	1865382			TU1085	PE/PPE
Rv1652	argC	CDS	Probable N-acetyl-gamma-glutamyl-phoshate reductase ArgC		+			1865576	1866634			TU1086	intermediary metabolism and respiration
Rv1653	argJ	CDS	Probable glutamate N-acetyltransferase ArgJ		+			1866631	1867845			TU1086	intermediary metabolism and respiration
Rv1654	argB	CDS	Probable acetylglutamate kinase ArgB		+			1867842	1868726			TU1086	intermediary metabolism and respiration
Rv1655	argD	CDS	Probable acetylornithine aminotransferase ArgD		+	1868709	1868713	1868723	1869925			TU1086	intermediary metabolism and respiration
Rv1656	argF	CDS	Probable ornithine carbamoyltransferase, anabolic ArgF		+			1869922	1870845			TU1086	intermediary metabolism and respiration
Rv1657	argR	CDS	Probable arginine repressor ArgR (AHRC)		+			1870842	1871354			TU1086	regulatory proteins
Rv1658	argG	CDS	Probable argininosuccinate synthase ArgG		+			1871363	1872559			TU1086	intermediary metabolism and respiration
Rv1659	argH	CDS	Probable argininosuccinate lyase ArgH		+			1872639	1874051			TU1087	intermediary metabolism and respiration
Rv1660	pks10	CDS	Chalcone synthase Pks10		+			1874160	1875221			TU1088	lipid metabolism
Rv1661	pks7	CDS	Probable polyketide synthase Pks7		+			1875304	1881684			TU1089	lipid metabolism
Rv1662	pks8	CDS	Probable polyketide synthase Pks8		+	1881693	1881697	1881704	1886512			TU1089	lipid metabolism
Rv1663	pks17	CDS	Probable polyketide synthase Pks17		+			1886512	1888020			TU1089	lipid metabolism
Rv1664	pks9	CDS	Probable polyketide synthase Pks9		+	1888012	1888014	1888026	1891079			TU1089	lipid metabolism
Rv1665	pks11	CDS	Chalcone synthase Pks11		+	1891212	1891214	1891226	1892287			TU1090	lipid metabolism
Rv1666c	cyp139	CDS	Probable cytochrome P450 139 Cyp139		-	1893574	1893577	1892270	1893562			TU1091	intermediary metabolism and respiration
Rv1667c	Rv1667c	CDS	Probable second part of macrolide-transport ATP-binding protein ABC transporter		-			1893577	1894230			TU1091	cell wall and cell processes
Rv1668c	Rv1668c	CDS	Probable first part of macrolide-transport ATP-binding protein ABC transporter		-	1895351	1895354	1894224	1895342			TU1091	cell wall and cell processes
Rv1669	Rv1669	CDS	Hypothetical protein		+			1895725	1896087			TU1092	conserved hypotheticals
Rv1670	Rv1670	CDS	Conserved hypothetical protein		+	1896105	1896111	1896120	1896467			TU1092	conserved hypotheticals
Rv1671	Rv1671	CDS	Probable membrane protein		+			1896475	1896867			TU1092	cell wall and cell processes
Rv1672c	Rv1672c	CDS	Probable conserved integral membrane transport protein		-	1898214	1898219	1896876	1898207			TU1093	cell wall and cell processes
Rv1673c	Rv1673c	CDS	Conserved hypothetical protein		-	1899240	1899245	1898300	1899232			TU1094	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1674c	Rv1674c	CDS	Probable transcriptional regulatory protein		-	1899924	1899927	1899260	1899916			TU1094	regulatory proteins
Rv1675c	cmr	CDS	Probable transcriptional regulatory protein Cmr		-	1900981	1900986	1900241	1900975			TU1095	regulatory proteins
Rv1676	Rv1676	CDS	Unknown protein		+			1901047	1901751			TU1096	conserved hypotheticals
Rv1677	dsbF	CDS	Probable conserved lipoprotein DsbF		+	1901736	1901740	1901748	1902296			TU1096	cell wall and cell processes
Rv1678	Rv1678	CDS	Probable integral membrane protein		+			1902397	1903299			TU1097	cell wall and cell processes
Rv1679	fadE16	CDS	Possible acyl-CoA dehydrogenase FadE16		+	1903289	1903292	1903299	1904420			TU1097	lipid metabolism
Rv1680	Rv1680	CDS	Hypothetical protein		+	1904419	1904424	1904429	1905253			TU1097	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1681	moeX	CDS	Possible molybdopterin biosynthesis protein MoeX		+			1905250	1906242			TU1097	intermediary metabolism and respiration
Rv1682	Rv1682	CDS	Probable coiled-coil structural protein		+	1906396	1906400	1906403	1907320	Predicted to be in the Rv1404 regulon (See Golby et al., 2008).		TU1098	conserved hypotheticals
Rv1683	Rv1683	CDS	Possible bifunctional enzyme; long-chain acyl-CoA synthase and lipase.		+	1907587	1907591	1907594	1910593			TU1099	lipid metabolism
Rv1684	Rv1684	CDS	Conserved hypothetical protein		+			1910586	1910810			TU1099	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1685c	Rv1685c	CDS	Conserved hypothetical protein		-			1910776	1911399			TU1100	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv1686c	Rv1686c	CDS	Probable conserved integral membrane protein ABC transporter		-			1911401	1912081			TU1100	cell wall and cell processes
Rv1687c	Rv1687c	CDS	Probable conserved ATP-binding protein ABC transporter		-			1912153	1912920			TU1101	cell wall and cell processes
Rv1688	mpg	CDS	Possible 3-methyladenine DNA glycosylase Mpg		+			1912979	1913590			TU1102	information pathways
Rv1689	tyrS	CDS	Probable tyrosyl-tRNA synthase TyrS (TYRRS)		+			1913602	1914876			TU1102	information pathways
MTB000054	G2	ncRNA	Putative small regulatory RNA		-			1914962	1915190				stable RNAs
Rv1690	lprJ	CDS	Probable lipoprotein LprJ		+			1915527	1915910			TU1103	cell wall and cell processes
Rv1691	Rv1691	CDS	Conserved hypothetical protein		+			1915949	1916701			TU1103	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1692	Rv1692	CDS	Probable phosphatase		+			1916698	1917759			TU1103	intermediary metabolism and respiration
Rv1693	Rv1693	CDS	Conserved hypothetical protein		+	1917747	1917750	1917756	1917932			TU1103	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1694	tlyA	CDS	2'-O-methyltransferase TlyA		+	1917924	1917927	1917940	1918746			TU1103	virulence, detoxification, adaptation
Rv1695	ppnK	CDS	Inorganic polyphosphate/ATP-NAD kinase PpnK (poly(P)/ATP NAD kinase)		+	1918735	1918738	1918746	1919669			TU1103	intermediary metabolism and respiration
Rv1696	recN	CDS	Probable DNA repair protein RecN (recombination protein N)		+			1919683	1921446			TU1103	information pathways
Rv1697	Rv1697	CDS	Conserved hypothetical protein		+			1921542	1922723			TU1104	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1698	mctB	CDS	Outer membrane protein MctB		+	1922736	1922740	1922745	1923689			TU1104	cell wall and cell processes
Rv1699	pyrG	CDS	Probable CTP synthase PyrG		+	1923817	1923821	1923829	1925589			TU1105	intermediary metabolism and respiration
Rv1700	Rv1700	CDS	NUDIX hydrolase		+			1925582	1926205			TU1105	information pathways
Rv1701	Rv1701	CDS	Probable integrase/recombinase		+	1926189	1926192	1926202	1927137			TU1105	insertion seqs and phages
Rv1702c	Rv1702c	CDS	Conserved hypothetical protein		-			1927211	1928575	Thought to be regulated by Rv2720|LEXA.		TU1106	insertion seqs and phages
Rv1703c	Rv1703c	CDS	Probable catechol-O-methyltransferase		-			1929131	1929721			TU1107	intermediary metabolism and respiration
Rv1704c	cycA	CDS	Probable D-serine/alanine/glycine transporter protein CycA		-	1931465	1931468	1929786	1931456			TU1108	cell wall and cell processes
Rv1705c	PPE22	CDS	PPE family protein PPE22		-	1933885	1933890	1931497	1932654			TU1109	PE/PPE
Rv1706c	PPE23	CDS	PPE family protein PPE23		-			1932694	1933878			TU1111	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1706A	Rv1706A	CDS	Conserved hypothetical protein		-			1934482	1934649			TU1110	conserved hypotheticals
Rv1707	Rv1707	CDS	Probable conserved transmembrane protein		+	1934868	1934873	1934882	1936342			TU1112	cell wall and cell processes
Rv1708	Rv1708	CDS	Putative initiation inhibitor protein		+			1936360	1937316			TU1112	cell wall and cell processes
Rv1709	scpA	CDS	Possible segregation and condensation protein ScpA		+			1937313	1938149			TU1112	cell wall and cell processes
Rv1710	scpB	CDS	Possible segregation and condensation protein ScpB		+	1938132	1938137	1938146	1938841			TU1112	cell wall and cell processes
Rv1711	Rv1711	CDS	Conserved hypothetical protein		+			1938838	1939602			TU1112	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1712	cmk	CDS	Cytidylate kinase Cmk (CMP kinase) (cytidine monophosphate kinase) (ck)		+	1939590	1939594	1939599	1940291			TU1112	intermediary metabolism and respiration
Rv1713	engA	CDS	Probable GTP-binding protein EngA		+	1940277	1940280	1940288	1941679			TU1112	intermediary metabolism and respiration
Rv1714	Rv1714	CDS	Probable oxidoreductase		+			1941853	1942665	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU1113	intermediary metabolism and respiration
Rv1715	fadB3	CDS	Probable 3-hydroxybutyryl-CoA dehydrogenase FadB3 (beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)		+			1942659	1943573			TU1113	lipid metabolism
Rv1716	Rv1716	CDS	Conserved hypothetical protein		+	1943561	1943567	1943576	1944406			TU1113	conserved hypotheticals
Rv1717	Rv1717	CDS	Conserved hypothetical protein		+			1944406	1944756			TU1113	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1718	Rv1718	CDS	Conserved hypothetical protein		+			1944809	1945627			TU1114	conserved hypotheticals
Rv1719	Rv1719	CDS	Probable transcriptional regulatory protein		+			1945641	1946420			TU1114	regulatory proteins
MTB000024	proT	tRNA	tRNA-Pro (GGG)		+			1946613	1946686				stable RNAs
Rv1720c	vapC12	CDS	Possible toxin VapC12		-			1947030	1947419			TU1115	virulence, detoxification, adaptation
Rv1721c	vapB12	CDS	Possible antitoxin VapB12		-			1947416	1947643			TU1115	virulence, detoxification, adaptation
Rv1722	Rv1722	CDS	Possible carboxylase		+			1947861	1949345			TU1116	lipid metabolism
Rv1723	Rv1723	CDS	Probable hydrolase		+			1949342	1950589			TU1116	intermediary metabolism and respiration
Rv1724c	Rv1724c	CDS	Hypothetical protein		-			1950632	1951051			TU1117	conserved hypotheticals
Rv1725c	Rv1725c	CDS	Conserved hypothetical protein		-			1951041	1951751			TU1117	conserved hypotheticals
Rv1726	Rv1726	CDS	Probable oxidoreductase		+			1951852	1953237		Rv1726 and Rv1727 are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).	TU1118	intermediary metabolism and respiration
MTB000055	AS1726	ncRNA	Putative small regulatory RNA		-			1952291	1952503				stable RNAs
Rv1727	Rv1727	CDS	Conserved hypothetical protein		+			1953270	1953839		Rv1726 and Rv1727 are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).	TU1118	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1728c	Rv1728c	CDS	Conserved hypothetical protein		-			1953864	1954634			TU1119	conserved hypotheticals
Rv1729c	Rv1729c	CDS	Possible S-adenosylmethionine-dependent methyltransferase		-			1954631	1955569			TU1119	lipid metabolism
Rv1730c	Rv1730c	CDS	Possible penicillin-binding protein		-			1955692	1957245			TU1120	cell wall and cell processes
Rv1731	gabD2	CDS	Possible succinate-semialdehyde dehydrogenase [NADP+] dependent (SSDH) GabD2		+			1957677	1959233			TU1121	intermediary metabolism and respiration
Rv1732c	Rv1732c	CDS	Conserved protein		-			1959243	1959791			TU1122	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1733c	Rv1733c	CDS	Probable conserved transmembrane protein		-			1959855	1960487	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1123	cell wall and cell processes
MTB000077	MTS1338	ncRNA	Putative small regulatory RNA		+			1960667	1960783				stable RNAs
Rv1734c	Rv1734c	CDS	Conserved hypothetical protein		-			1960774	1961016	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1124	conserved hypotheticals
Rv1735c	Rv1735c	CDS	Hypothetical membrane protein		-			1961291	1961788	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1125	cell wall and cell processes
Rv1736c	narX	CDS	Probable nitrate reductase NarX		-			1962228	1964186	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1126	intermediary metabolism and respiration
Rv1737c	narK2	CDS	Possible nitrate/nitrite transporter NarK2		-			1964183	1965370	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1126	cell wall and cell processes
Rv1738	Rv1738	CDS	Conserved protein		+	1965646	1965649	1965657	1965941	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1127	conserved hypotheticals
Rv1739c	Rv1739c	CDS	Probable sulphate-transport transmembrane protein ABC transporter		-	1967640	1967642	1965955	1967637			TU1128	cell wall and cell processes
Rv1740	vapB34	CDS	Possible antitoxin VapB34		+			1967705	1967917	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU1129	virulence, detoxification, adaptation
Rv1741	vapC34	CDS	Possible toxin VapC34. Contains PIN domain.		+			1967917	1968165			TU1129	virulence, detoxification, adaptation
Rv1742	Rv1742	CDS	Unknown protein		+	1968164	1968166	1968173	1968910			TU1129	unknown
Rv1743	pknE	CDS	Probable transmembrane serine/threonine-protein kinase E PknE (protein kinase E) (STPK E)		+	1968992	1968996	1969004	1970704			TU1130	regulatory proteins
Rv1744c	Rv1744c	CDS	Probable membrane protein		-			1970989	1971390			TU1131	cell wall and cell processes
Rv1745c	idi	CDS	Probable isopentenyl-diphosphate delta-isomerase Idi (IPP isomerase) (isopentenyl pyrophosphate isomerase)		-	1971998	1972004	1971380	1971991			TU1131	intermediary metabolism and respiration
Rv1746	pknF	CDS	Anchored-membrane serine/threonine-protein kinase PknF (protein kinase F) (STPK F)		+			1972138	1973568			TU1132	regulatory proteins
Rv1747	Rv1747	CDS	Probable conserved transmembrane ATP-binding protein ABC transporter		+			1973630	1976227			TU1133	cell wall and cell processes
Rv1748	Rv1748	CDS	Unknown protein		+	1976593	1976595	1976600	1977331			TU1134	conserved hypotheticals
Rv1749c	Rv1749c	CDS	Possible integral membrane protein		-			1977328	1977885	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU1135	cell wall and cell processes
Rv1750c	fadD1	CDS	Possible fatty-acid-CoA ligase FadD1 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		-	1979575	1979578	1977969	1979567			TU1136	lipid metabolism
Rv1751	Rv1751	CDS	Probable oxidoreductase		+			1979621	1981003			TU1137	intermediary metabolism and respiration
Rv1752	Rv1752	CDS	Conserved hypothetical protein		+	1981118	1981122	1981130	1981579			TU1138	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1753c	PPE24	CDS	PPE family protein PPE24		-			1981614	1984775			TU1139	PE/PPE
Rv1754c	Rv1754c	CDS	Conserved protein		-			1984979	1986670			TU1140	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1755c	plcD	CDS	Probable phospholipase C 4 (fragment) PlcD		-			1986854	1987696			TU1141	intermediary metabolism and respiration
Rv1756c	Rv1756c	CDS	Putative transposase		-			1987745	1988731			TU1142	insertion seqs and phages
Rv1757c	Rv1757c	CDS	Putative transposase for insertion sequence element IS6110 (fragment)		-			1988680	1989006			TU1143	insertion seqs and phages
Rv1758	cut1	CDS	Probable cutinase Cut1		+			1989042	1989566			TU1144	cell wall and cell processes
Rv1759c	wag22	CDS	PE-PGRS family protein Wag22		-	1992585	1992589	1989833	1992577			TU1145	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1760	Rv1760	CDS	Possible triacylglycerol synthase (diacylglycerol acyltransferase)		+			1993153	1994661			TU1146	lipid metabolism
Rv1761c	Rv1761c	CDS	Possible exported protein		-	1995061	1995063	1994671	1995054			TU1147	cell wall and cell processes
Rv1762c	Rv1762c	CDS	Unknown protein		-	1995852	1995856	1995054	1995842			TU1147	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1763	Rv1763	CDS	Putative transposase for insertion sequence element IS6110 (fragment)		+			1996152	1996478			TU1148	insertion seqs and phages
Rv1764	Rv1764	CDS	Putative transposase		+			1996427	1997413			TU1149	insertion seqs and phages
Rv1765c	Rv1765c	CDS	Conserved hypothetical protein		-			1997418	1998515			TU1151	conserved hypotheticals
Rv1765A	Rv1765A	CDS	Putative transposase (fragment)		-			1999142	1999357			TU1150	insertion seqs and phages
Rv1766	Rv1766	CDS	Conserved protein		+			1999737	2000006			TU1152	conserved hypotheticals
Rv1767	Rv1767	CDS	Conserved protein		+	2000067	2000069	2000074	2000433			TU1153	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1768	PE_PGRS31	CDS	PE-PGRS family protein PE_PGRS31		+	2000603	2000607	2000614	2002470			TU1154	PE/PPE
Rv1769	Rv1769	CDS	Conserved protein		+	2002617	2002621	2002626	2003870			TU1155	conserved hypotheticals
Rv1770	Rv1770	CDS	Conserved protein		+			2003878	2005164			TU1155	conserved hypotheticals
Rv1771	Rv1771	CDS	L-gulono-1,4-lactone dehydrogenase		+	2005149	2005151	2005161	2006447			TU1155	intermediary metabolism and respiration
Rv1772	Rv1772	CDS	Hypothetical protein		+	2006627	2006629	2006636	2006947			TU1156	conserved hypotheticals
Rv1773c	Rv1773c	CDS	Probable transcriptional regulatory protein		-			2007020	2007766			TU1157	regulatory proteins
Rv1774	Rv1774	CDS	Probable oxidoreductase		+	2007820	2007824	2007832	2009172			TU1158	intermediary metabolism and respiration
Rv1775	Rv1775	CDS	Conserved hypothetical protein		+			2009172	2009990			TU1158	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv1776c	Rv1776c	CDS	Possible transcriptional regulatory protein		-			2009995	2010555			TU1159	regulatory proteins
Rv1777	cyp144	CDS	Probable cytochrome P450 144 Cyp144		+			2010656	2011960			TU1160	intermediary metabolism and respiration
Rv1778c	Rv1778c	CDS	Unknown protein		-	2012535	2012539	2012081	2012530			TU1161	conserved hypotheticals
Rv1779c	Rv1779c	CDS	Possible integral membrane protein		-			2012686	2014479			TU1162	cell wall and cell processes
Rv1780	Rv1780	CDS	Conserved protein		+			2014699	2015262			TU1163	conserved hypotheticals
Rv1781c	malQ	CDS	Probable 4-alpha-glucanotransferase MalQ (amylomaltase) (disproportionating enzyme) (D-enzyme)		-			2015302	2017476			TU1164	intermediary metabolism and respiration
Rv1782	eccB5	CDS	ESX conserved component EccB5. ESX-5 type VII secretion system protein. Probable membrane protein.		+	2017727	2017732	2017740	2019260			TU1165	cell wall and cell processes
Rv1783	eccC5	CDS	ESX conserved component EccC5. ESX-5 type VII secretion system protein.		+	2019245	2019249	2019257	2023432			TU1165	cell wall and cell processes
Rv1785c	cyp143	CDS	Probable cytochrome P450 143 Cyp143		-			2023447	2024628			TU1166	intermediary metabolism and respiration
Rv1786	Rv1786	CDS	Probable ferredoxin		+	2024816	2024821	2024828	2025031			TU1167	intermediary metabolism and respiration
Rv1787	PPE25	CDS	PPE family protein PPE25		+	2025291	2025296	2025301	2026398			TU1168	PE/PPE
Rv1788	PE18	CDS	PE family protein PE18		+	2026467	2026471	2026477	2026776			TU1169	PE/PPE	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1789	PPE26	CDS	PPE family protein PPE26		+	2026777	2026781	2026790	2027971			TU1169	PE/PPE
Rv1790	PPE27	CDS	PPE family protein PPE27		+	2028409	2028412	2028425	2029477			TU1170	PE/PPE
Rv1791	PE19	CDS	PE family protein PE19		+	2029892	2029896	2029904	2030203			TU1171	PE/PPE
Rv1792	esxM	CDS	ESAT-6 like protein EsxM			2030331	2030337	2030347	2030643			TU1171	cell wall and cell processes
Rv1793	esxN	CDS	Putative ESAT-6 like protein EsxN (ESAT-6 like protein 5)		+			2030694	2030978			TU1172	cell wall and cell processes
Rv1794	Rv1794	CDS	Conserved protein		+	2031057	2031060	2031066	2031968			TU1173	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1795	eccD5	CDS	ESX conserved component EccD5. ESX-5 type VII secretion system protein. Probable membrane protein.		+	2032226	2032230	2032240	2033751			TU1174	cell wall and cell processes
Rv1796	mycP5	CDS	Probable proline rich membrane-anchored mycosin MycP5 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-5)		+			2033729	2035486			TU1174	intermediary metabolism and respiration
Rv1797	eccE5	CDS	ESX conserved component EccE5. ESX-5 type VII secretion system protein. Probable membrane protein.		+			2035483	2036703			TU1174	cell wall and cell processes
Rv1798	eccA5	CDS	ESX conserved component EccA5. ESX-5 type VII secretion system protein.		+			2036700	2038532			TU1174	cell wall and cell processes
Rv1799	lppT	CDS	Probable lipoprotein LppT		+	2039147	2039151	2039159	2039350			TU1175	cell wall and cell processes
Rv1800	PPE28	CDS	PPE family protein PPE28		+	2039440	2039444	2039453	2041420			TU1176	PE/PPE
Rv1801	PPE29	CDS	PPE family protein PPE29		+			2042001	2043272			TU1177	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1802	PPE30	CDS	PPE family protein PPE30		+	2043367	2043374	2043384	2044775			TU1178	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv1803c	PE_PGRS32	CDS	PE-PGRS family protein PE_PGRS32		-			2044923	2046842			TU1179	PE/PPE
Rv1804c	Rv1804c	CDS	Conserved protein		-			2047023	2047349			TU1180	conserved hypotheticals
Rv1805c	Rv1805c	CDS	Hypothetical protein		-			2047687	2048034			TU1181	conserved hypotheticals
Rv1806	PE20	CDS	PE family protein PE20		+	2048060	2048064	2048072	2048371			TU1182	PE/PPE
Rv1807	PPE31	CDS	PPE family protein PPE31		+	2048374	2048378	2048398	2049597			TU1182	PE/PPE
Rv1808	PPE32	CDS	PPE family protein PPE32		+	2049907	2049911	2049921	2051150			TU1183	PE/PPE
Rv1809	PPE33	CDS	PPE family protein PPE33		+	2051266	2051270	2051282	2052688	Predicted to be in the Rv1404 regulon (See Golby et al., 2008).		TU1184	PE/PPE
Rv1810	Rv1810	CDS	Conserved protein		+			2052933	2053289			TU1185	conserved hypotheticals
Rv1811	mgtC	CDS	Possible Mg2+ transport P-type ATPase C MgtC		+	2053429	2053433	2053443	2054147			TU1186	cell wall and cell processes
Rv1812c	Rv1812c	CDS	Probable dehydrogenase		-	2055370	2055372	2054157	2055359	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1187	intermediary metabolism and respiration
Rv1813c	Rv1813c	CDS	Conserved hypothetical protein		-	2056119	2056123	2055681	2056112	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU1188	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1814	erg3	CDS	Membrane-bound C-5 sterol desaturase Erg3 (sterol-C5-desaturase)		+			2056521	2057423			TU1189	lipid metabolism
Rv1815	Rv1815	CDS	Conserved protein		+			2057528	2058193	Predicted to be in the SigD|Rv3414c regulon (See Raman et al., 2004).		TU1190	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1816	Rv1816	CDS	Possible transcriptional regulatory protein		+	2058245	2058251	2058256	2058960			TU1191	regulatory proteins
Rv1817	Rv1817	CDS	Possible flavoprotein		+			2059595	2061058			TU1192	intermediary metabolism and respiration
Rv1818c	PE_PGRS33	CDS	PE-PGRS family protein PE_PGRS33		-			2061178	2062674			TU1193	PE/PPE	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1819c	bacA	CDS	Probable drug-transport transmembrane ATP-binding protein ABC transporter BacA		-			2062809	2064728			TU1194	cell wall and cell processes
Rv1820	ilvG	CDS	Probable acetolactate synthase IlvG (acetohydroxy-acid synthase)(ALS)		+			2064799	2066442			TU1195	intermediary metabolism and respiration
Rv1821	secA2	CDS	Possible preprotein translocase ATPase SecA2		+	3620540	3620543	2066457	2068883			TU1195	cell wall and cell processes
Rv1822	pgsA2	CDS	Probable CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase PgsA2 (PGP synthase) (phosphatidylglycerophosphate synthase) (3-phosphatidyl-1'-glycerol-3'phosphate synthase)		+	3059237	3059240	2069080	2069709			TU1196	lipid metabolism
Rv1823	Rv1823	CDS	Conserved protein		+			2069702	2070625			TU1196	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
